0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:41 +0900] "GET /personalProject/amado/img/bg-img/model12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23594
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:42 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:43 +0900] "GET /personalProject/amado/pages/product-details.jsp HTTP/1.1" 200 14849
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:45 +0900] "GET /personalProject/amado/pages/cart.jsp HTTP/1.1" 200 14343
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:45 +0900] "GET /personalProject/amado/img/bg-img/cart2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:45 +0900] "GET /personalProject/amado/img/bg-img/pro-big-1.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:45 +0900] "GET /personalProject/amado/img/bg-img/cart3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:46 +0900] "GET /personalProject/amado/pages/checkout.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:46 +0900] "GET /personalProject/amado/pages/img/core-img/paypal.png HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:47 +0900] "GET /personalProject/amado/pages/cart.jsp HTTP/1.1" 200 14343
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:47 +0900] "GET /personalProject/amado/img/bg-img/pro-big-1.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:47 +0900] "GET /personalProject/amado/img/bg-img/cart2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:00:47 +0900] "GET /personalProject/amado/img/bg-img/cart3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:16 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23594
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:17 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:18 +0900] "GET /personalProject/amado/pages/product-details.jsp HTTP/1.1" 200 14849
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:27 +0900] "GET /personalProject/amado/pages/cart.jsp HTTP/1.1" 200 14343
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:27 +0900] "GET /personalProject/amado/img/bg-img/pro-big-1.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:27 +0900] "GET /personalProject/amado/img/bg-img/cart2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:27 +0900] "GET /personalProject/amado/img/bg-img/cart3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:28 +0900] "GET /personalProject/amado/pages/checkout.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:28 +0900] "GET /personalProject/amado/pages/img/core-img/paypal.png HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:49 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23594
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:50 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:51 +0900] "GET /personalProject/amado/pages/product-details.jsp HTTP/1.1" 200 14849
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:51 +0900] "GET /personalProject/amado/pages/cart.jsp HTTP/1.1" 200 14343
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:51 +0900] "GET /personalProject/amado/img/bg-img/pro-big-1.jpg HTTP/1.1" 404 1136
